Date,Ticker,Market,Close,rsi_14,price_sma50_ratio,obv_zscore_50,macd_norm,macd_signal_norm,bb_pct_b,bb_width,atr_pct,return_1d,return_5d,return_10d,volatility_10d,volume_ratio_20d
2022-06-28,COOP,Kenya,10.8,42.857142857142904,-0.08139831589691238,-0.8691813994651378,-0.024291264151900093,-0.02803123492009039,0.30353495158467636,0.05247385442687869,0.03306878306878306,0.0,-0.018181818181818077,-0.004608294930875445,0.01086728250342645,1.26192623036759
2022-06-29,COOP,Kenya,10.8,50.0,-0.0781836804370093,-0.8344469110305609,-0.023154080568161158,-0.02705580404970455,0.30511183497476263,0.04123769844609138,0.029761904761904746,0.0,0.009345794392523477,0.0,0.01076662173130659,1.3296215284682176
2022-06-30,COOP,Kenya,10.9,50.0,-0.06654106362935674,-0.7473737012592617,-0.021065578581127665,-0.025659184247367486,0.5169910358671406,0.040524142898930644,0.0265399737876802,0.0092592592592593,0.013953488372093092,0.0,0.01076662173130659,0.3443445252835646
2022-07-01,COOP,Kenya,11.0,54.99999999999999,-0.054982817869415834,-0.485094992858862,-0.018454491162105603,-0.024031633381243346,0.7338047603682742,0.0412200690680209,0.029220779220779206,0.00917431192660545,0.01382488479262678,0.0,0.01076662173130659,1.4083891957988515
2022-07-04,COOP,Kenya,11.0,57.8947368421053,-0.05205101689072744,-0.4559470415239471,-0.016348499542656502,-0.022495006613525978,0.7628317500727188,0.038431468413596764,0.03181818181818182,0.0,0.01851851851851838,0.0,0.01076662173130659,1.3490619313547092
2022-07-05,COOP,Kenya,11.2,68.18181818181816,-0.03206291591046584,-0.3220497217341631,-0.01282855059663365,-0.02024035817281143,1.1524510996084247,0.042906652932988246,0.03125000000000001,0.018181818181818077,0.03703703703703698,0.018181818181818077,0.01219691574249792,0.5843883625387776
2022-07-06,COOP,Kenya,11.3,68.1818181818182,-0.020882072610692415,-0.17707497332662744,-0.009357487774462969,-0.017920489522006786,1.1559817289056447,0.05413220365131867,0.030657395701643487,0.008928571428571619,0.04629629629629628,0.056074766355140415,0.006735353030019096,0.6409023905659168
2022-07-07,COOP,Kenya,11.4,68.1818181818182,-0.010072941993747642,0.09927771881108836,-0.0058624738176535985,-0.015383128559929085,1.132457022997376,0.06610640251110869,0.029761904761904764,0.008849557522123908,0.04587155963302747,0.0604651162790697,0.006808085462016077,1.3077695914266578
2022-07-08,COOP,Kenya,11.5,70.83333333333334,0.0006090663882363234,0.4808866590205903,-0.0024009008019507962,-0.012679669940090444,1.1018005561976554,0.07988482528000342,0.029503105590062112,0.00877192982456143,0.045454545454545414,0.05990783410138256,0.006780720755141475,1.775267050123254
2022-07-12,COOP,Kenya,11.15,54.838709677419374,-0.02730524295559622,-0.028770722833728814,-0.0021961054304830874,-0.01090137027433268,0.685899772137066,0.08079882134029151,0.031710442024343366,-0.030434782608695587,0.013636363636363669,0.03240740740740744,0.013142837290919026,2.400014556570472
2022-07-13,COOP,Kenya,11.1,65.38461538461542,-0.029126213592232997,-0.3246831333353867,-0.002319704629208691,-0.009224321362512685,0.6159879793308082,0.08035574136191219,0.031531531531531536,-0.004484304932735439,-0.008928571428571397,0.02777777777777768,0.01334191597576063,1.3447842480100545
2022-07-14,COOP,Kenya,11.0,59.259259259259274,-0.03500307044477591,-1.3779512582070117,-0.003129214303228232,-0.008072385924201342,0.4913190086525639,0.07848799696492674,0.031493506493506504,-0.009009009009009028,-0.026548672566371723,0.01851851851851838,0.013848388833508628,3.6712736179146255
2022-07-15,COOP,Kenya,11.05,57.692307692307736,-0.028058756267041685,-1.258257429675982,-0.0033335101731387312,-0.007095389467475873,0.5407621214186392,0.0779519106661847,0.033936651583710405,0.00454545454545463,-0.030701754385964897,0.013761467889908285,0.013649755239102326,0.2635760623952183
2022-07-18,COOP,Kenya,11.45,69.69696969696967,0.008988367994360313,-1.0996329492639063,-0.0005587716950286386,-0.005589766818698891,0.9377671933686628,0.08537093230741588,0.034934497816593885,0.036199095022624306,-0.004347826086956608,0.040909090909090784,0.017484964375593413,0.4141585872045827
2022-07-19,COOP,Kenya,11.4,67.64705882352942,0.0062671021272839855,-1.1816473601180466,0.0011871314799323592,-0.004254000375880357,0.8441157034526322,0.09001173564245343,0.03634085213032581,-0.004366812227074135,0.022421524663677195,0.036363636363636376,0.017653972508995835,0.4289864428663654
2022-07-20,COOP,Kenya,11.25,62.162162162162154,-0.0047770700636941,-1.2345890190498383,0.0015136800943654155,-0.003145840285840593,0.6785400611579567,0.09107290820988581,0.037777777777777785,-0.013157894736842146,0.013513513513513598,0.0044642857142858094,0.017582662696469464,0.2940316728854652
